wl,n
5.6358,7.68E-03
5.6604,1.15E-02
5.6852,2.28E-02
5.7103,8.66E-02
5.7355,2.26E-01
5.7610,3.51E-01
5.7867,3.61E-01
5.8127,2.39E-01
5.8389,9.48E-02
5.8653,3.43E-02
5.8919,1.98E-02
5.9188,1.55E-02
5.9460,1.30E-02
5.9734,9.72E-03
6.0011,8.38E-03
6.0290,8.27E-03
6.0571,7.51E-03
6.0856,6.94E-03
6.1143,7.42E-03
6.1433,6.67E-03
6.1725,5.32E-03
6.2020,4.53E-03
6.2319,4.01E-03
6.2620,4.08E-03
6.2924,5.27E-03
6.3231,6.06E-03
6.3541,5.58E-03
6.3854,5.37E-03
6.4170,6.48E-03
6.4489,6.29E-03
6.4811,5.42E-03
6.5137,4.76E-03
6.5466,5.05E-03
6.5798,6.17E-03
6.6134,7.68E-03
6.6473,1.30E-02
6.6816,3.01E-02
6.7162,5.29E-02
6.7512,6.33E-02
6.7865,6.00E-02
6.8223,6.22E-02
6.8583,7.67E-02
6.8948,8.95E-02
6.9317,9.22E-02
6.9690,8.10E-02
7.0066,5.16E-02
7.0447,2.48E-02
7.0832,1.76E-02
7.1221,2.18E-02
7.1615,3.12E-02
7.2013,3.84E-02
7.2415,3.47E-02
7.2822,2.69E-02
7.3233,2.31E-02
7.3649,2.08E-02
7.4070,1.92E-02
7.4496,1.87E-02
7.4926,1.85E-02
7.5362,1.83E-02
7.5803,1.95E-02
7.6249,2.19E-02
7.6700,2.57E-02
7.7156,3.29E-02
7.7618,5.05E-02
7.8086,8.37E-02
7.8559,1.13E-01
7.9038,1.16E-01
7.9523,1.15E-01
8.0014,1.36E-01
8.0511,1.49E-01
8.1014,1.29E-01
8.1524,9.19E-02
8.2040,7.16E-02
8.2562,8.84E-02
8.3091,1.49E-01
8.3628,2.09E-01
8.4171,2.16E-01
8.4721,1.98E-01
8.5278,1.97E-01
8.5843,2.25E-01
8.6415,2.90E-01
8.6995,3.29E-01
8.7583,2.72E-01
8.8179,1.75E-01
8.8783,1.11E-01
8.9395,7.51E-02
9.0016,5.17E-02
9.0645,3.96E-02
9.1284,3.33E-02
9.1931,3.09E-02
9.2588,3.18E-02
9.3254,3.63E-02
9.3930,3.83E-02
9.4615,2.86E-02
9.5311,1.47E-02
9.6017,7.69E-03
9.6733,5.46E-03
9.7461,5.25E-03
9.8199,7.58E-03
9.8949,1.43E-02
9.9710,3.14E-02
10.048,5.48E-02
10.127,6.29E-02
10.207,5.66E-02
10.288,5.32E-02
10.370,5.09E-02
10.453,4.09E-02
10.538,3.04E-02
10.625,2.41E-02
10.713,1.96E-02
10.802,1.87E-02
10.893,2.33E-02
10.985,2.62E-02
11.079,2.10E-02
11.174,1.46E-02
11.272,1.27E-02
11.370,1.29E-02
11.471,1.31E-02
11.573,1.56E-02
11.678,2.23E-02
11.784,3.19E-02
11.892,3.51E-02
12.002,2.64E-02
12.114,2.01E-02
12.229,1.94E-02
12.345,1.84E-02
12.464,1.39E-02
12.585,8.20E-03
12.708,9.91E-03
12.834,1.32E-02
12.962,1.51E-02
13.093,2.73E-02
13.227,4.48E-02
13.363,4.27E-02
13.502,2.47E-02
13.645,1.24E-02
13.790,5.91E-03
13.938,1.35E-03
14.089,1.28E-03
14.244,8.19E-04
14.403,5.49E-03
14.564,6.40E-03
14.730,6.83E-03
14.899,1.05E-02
15.072,7.96E-03
15.250,3.88E-03
15.431,4.38E-03
15.617,7.01E-03
15.808,4.97E-03
16.003,1.07E-03
16.203,3.34E-04
16.408,3.73E-04
16.618,8.99E-04
16.834,1.09E-03
17.056,9.86E-04
17.283,4.37E-03
17.517,6.43E-03
17.757,6.65E-03
18.003,4.71E-03
18.257,5.84E-03
18.518,5.07E-03
18.786,7.18E-03
19.062,1.01E-02
19.347,1.15E-02
19.640,1.17E-02
19.942,1.52E-02
